Pizza_Id,Pizza_Type_Id,size,price
Bbq_Ckn_S,Bbq_Ckn,S,$12.75 
Bbq_Ckn_M,Bbq_Ckn,M,$16.75 
Bbq_Ckn_L,Bbq_Ckn,L,$20.75 
Cali_Ckn_S,Cali_Ckn,S,$12.75 
Cali_Ckn_M,Cali_Ckn,M,$16.75 
Cali_Ckn_L,Cali_Ckn,L,$20.75 
Ckn_Alfredo_S,Ckn_Alfredo,S,$12.75 
Ckn_Alfredo_M,Ckn_Alfredo,M,$16.75 
Ckn_Alfredo_L,Ckn_Alfredo,L,$20.75 
Ckn_Pesto_S,Ckn_Pesto,S,$12.75 
Ckn_Pesto_M,Ckn_Pesto,M,$16.75 
Ckn_Pesto_L,Ckn_Pesto,L,$20.75 
Southw_Ckn_S,Southw_Ckn,S,$12.75 
Southw_Ckn_M,Southw_Ckn,M,$16.75 
Southw_Ckn_L,Southw_Ckn,L,$20.75 
Thai_Ckn_S,Thai_Ckn,S,$12.75 
Thai_Ckn_M,Thai_Ckn,M,$16.75 
Thai_Ckn_L,Thai_Ckn,L,$20.75 
Big_Meat_S,Big_Meat,S,$12.00 
Big_Meat_M,Big_Meat,M,$16.00 
Big_Meat_L,Big_Meat,L,$20.50 
Classic_Dlx_S,Classic_Dlx,S,$12.00 
Classic_Dlx_M,Classic_Dlx,M,$16.00 
Classic_Dlx_L,Classic_Dlx,L,$20.50 
Hawaiian_S,Hawaiian,S,$10.50 
Hawaiian_M,Hawaiian,M,$13.25 
Hawaiian_L,Hawaiian,L,$16.50 
Ital_Cpcllo_S,Ital_Cpcllo,S,$12.00 
Ital_Cpcllo_M,Ital_Cpcllo,M,$16.00 
Ital_Cpcllo_L,Ital_Cpcllo,L,$20.50 
Napolitana_S,Napolitana,S,$12.00 
Napolitana_M,Napolitana,M,$16.00 
Napolitana_L,Napolitana,L,$20.50 
Pep_Msh_Pep_S,Pep_Msh_Pep,S,$11.00 
Pep_Msh_Pep_M,Pep_Msh_Pep,M,$14.50 
Pep_Msh_Pep_L,Pep_Msh_Pep,L,$17.50 
Pepperoni_S,Pepperoni,S,$9.75 
Pepperoni_M,Pepperoni,M,$12.50 
Pepperoni_L,Pepperoni,L,$15.25 
The_Greek_S,The_Greek,S,$12.00 
The_Greek_M,The_Greek,M,$16.00 
The_Greek_L,The_Greek,L,$20.50 
The_Greek_Xl,The_Greek,XL,$25.50 
The_Greek_Xxl,The_Greek,XXL,$35.95 
Brie_Carre_S,Brie_Carre,S,$23.65 
Calabrese_S,Calabrese,S,$12.25 
Calabrese_M,Calabrese,M,$16.25 
Calabrese_L,Calabrese,L,$20.25 
Ital_Supr_S,Ital_Supr,S,$12.50 
Ital_Supr_M,Ital_Supr,M,$16.50 
Ital_Supr_L,Ital_Supr,L,$20.75 
Peppr_Salami_S,Peppr_Salami,S,$12.50 
Peppr_Salami_M,Peppr_Salami,M,$16.50 
Peppr_Salami_L,Peppr_Salami,L,$20.75 
Prsc_Argla_S,Prsc_Argla,S,$12.50 
Prsc_Argla_M,Prsc_Argla,M,$16.50 
Prsc_Argla_L,Prsc_Argla,L,$20.75 
Sicilian_S,Sicilian,S,$12.25 
Sicilian_M,Sicilian,M,$16.25 
Sicilian_L,Sicilian,L,$20.25 
Soppressata_S,Soppressata,S,$12.50 
Soppressata_M,Soppressata,M,$16.50 
Soppressata_L,Soppressata,L,$20.75 
Spicy_Ital_S,Spicy_Ital,S,$12.50 
Spicy_Ital_M,Spicy_Ital,M,$16.50 
Spicy_Ital_L,Spicy_Ital,L,$20.75 
Spinach_Supr_S,Spinach_Supr,S,$12.50 
Spinach_Supr_M,Spinach_Supr,M,$16.50 
Spinach_Supr_L,Spinach_Supr,L,$20.75 
Five_Cheese_S,Five_Cheese,S,$12.50 
Five_Cheese_M,Five_Cheese,M,$15.50 
Five_Cheese_L,Five_Cheese,L,$18.50 
Four_Cheese_S,Four_Cheese,S,$11.75 
Four_Cheese_M,Four_Cheese,M,$14.75 
Four_Cheese_L,Four_Cheese,L,$17.95 
Green_Garden_S,Green_Garden,S,$12.00 
Green_Garden_M,Green_Garden,M,$16.00 
Green_Garden_L,Green_Garden,L,$20.25 
Ital_Veggie_S,Ital_Veggie,S,$12.75 
Ital_Veggie_M,Ital_Veggie,M,$16.75 
Ital_Veggie_L,Ital_Veggie,L,$21.00 
Mediterraneo_S,Mediterraneo,S,$12.00 
Mediterraneo_M,Mediterraneo,M,$16.00 
Mediterraneo_L,Mediterraneo,L,$20.25 
Mexicana_S,Mexicana,S,$12.00 
Mexicana_M,Mexicana,M,$16.00 
Mexicana_L,Mexicana,L,$20.25 
Spin_Pesto_S,Spin_Pesto,S,$12.50 
Spin_Pesto_M,Spin_Pesto,M,$16.50 
Spin_Pesto_L,Spin_Pesto,L,$20.75 
Spinach_Fet_S,Spinach_Fet,S,$12.00 
Spinach_Fet_M,Spinach_Fet,M,$16.00 
Spinach_Fet_L,Spinach_Fet,L,$20.25 
Veggie_Veg_S,Veggie_Veg,S,$12.00 
Veggie_Veg_M,Veggie_Veg,M,$16.00 
Veggie_Veg_L,Veggie_Veg,L,$20.25 
